epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3174.38,1.50131,0.76607,1.39754,0.92443,0.91398,0.94772,0.55844,1.57365,0.73578,1.5394,0.0004424,0.0004424,0.0004424
61,3227.55,1.49833,0.77375,1.39641,0.9415,0.93354,0.95893,0.58005,1.51235,0.70855,1.49608,0.000416,0.000416,0.000416
62,3279.7,1.49448,0.76779,1.39644,0.94192,0.92949,0.95819,0.58459,1.51043,0.70443,1.48641,0.0003896,0.0003896,0.0003896
63,3332.61,1.4897,0.76465,1.39176,0.93966,0.93256,0.95875,0.57505,1.52867,0.72092,1.50353,0.0003632,0.0003632,0.0003632
64,3384.67,1.49043,0.76067,1.39057,0.93936,0.93353,0.95937,0.58066,1.5035,0.70745,1.4798,0.0003368,0.0003368,0.0003368
65,3437.41,1.47918,0.75527,1.38942,0.93711,0.93159,0.95847,0.57866,1.50462,0.71095,1.48477,0.0003104,0.0003104,0.0003104
66,3485.64,1.46019,0.73033,1.40524,0.9402,0.92705,0.95778,0.57822,1.50994,0.71406,1.48649,0.000284,0.000284,0.000284
67,3533.34,1.45093,0.71805,1.40174,0.93485,0.93246,0.95879,0.57866,1.49653,0.70391,1.47745,0.0002576,0.0002576,0.0002576
68,3580.71,1.43712,0.71572,1.38425,0.94233,0.93325,0.96079,0.58952,1.49012,0.6918,1.47104,0.0002312,0.0002312,0.0002312
69,3628.62,1.4426,0.71471,1.40042,0.94538,0.9305,0.96081,0.58999,1.47832,0.68743,1.46304,0.0002048,0.0002048,0.0002048
70,3676.26,1.43979,0.70891,1.39446,0.94715,0.93559,0.96336,0.59593,1.47516,0.67665,1.45939,0.0001784,0.0001784,0.0001784
71,3723.73,1.43553,0.71143,1.39076,0.9513,0.93492,0.96384,0.59782,1.46501,0.6791,1.4531,0.000152,0.000152,0.000152
72,3771.52,1.43655,0.70484,1.38956,0.94779,0.93472,0.96225,0.5905,1.48023,0.68136,1.46461,0.0001256,0.0001256,0.0001256
73,3819.27,1.44188,0.70448,1.39613,0.94861,0.93698,0.96323,0.59674,1.46852,0.67428,1.4549,9.92e-05,9.92e-05,9.92e-05
74,3867.27,1.4182,0.69202,1.38442,0.95218,0.93376,0.96369,0.59909,1.46672,0.67753,1.45476,7.28e-05,7.28e-05,7.28e-05
75,3915.26,1.41555,0.69399,1.37467,0.95301,0.93302,0.96402,0.60045,1.46189,0.66976,1.45128,4.64e-05,4.64e-05,4.64e-05
